Time,HUM
  37.735461069,  56.929843903
  37.815799230,  57.027141571
  37.896137391,  56.946868896
  37.976475553,  56.971195221
  38.056813715,  56.951736450
  38.137151876,  56.976058960
  38.217490037,  56.985790253
  38.297828199,  56.959033966
  38.378166360,  56.954166412
  38.458504522,  57.017410278
  38.538842684,  56.976058960
  38.619180845,  56.961463928
  38.699519006,  57.000385284
  38.779857168,  57.080654144
  38.860195330,  57.000385284
  38.940533491,  56.917678833
  39.020871652,  57.007682800
  39.101209814,  56.888488770
  39.181547976,  56.978492737
  39.261886137,  56.924976349
  39.342224298,  56.951736450
  39.422562460,  57.000385284
  39.502900622,  56.968761444
  39.583238783,  56.927410126
  39.663576945,  57.056331635
  39.743915106,  56.873897552
  39.824253267,  56.949302673
  39.904591429,  56.997951508
  39.984929591,  56.922546387
  40.065267752,  57.005249023
  40.145605913,  56.951736450
  40.225944075,  57.007682800
  40.306296853,  56.890922546
  40.386649631,  56.968761444
  40.467002409,  56.956600189
  40.547355186,  56.954166412
  40.627707964,  57.014980316
  40.708060742,  57.070926666
  40.788413520,  56.963897705
  40.868766298,  56.944438934
  40.949119076,  56.915248871
  41.029471853,  57.010112762
  41.109824631,  56.968761444
  41.190177409,  56.949302673
  41.270530187,  56.973625183
  41.350882965,  57.022277832
  41.431235743,  56.915248871
  41.511588520,  57.014980316
  41.591941298,  56.900653839
  41.672294076,  57.022277832
  41.752646854,  56.937141418
  41.832999632,  56.895786285
  41.913352409,  56.927410126
  41.993705187,  56.903083801
  42.074057965,  56.995517731
  42.154410743,  56.954166412
  42.234763521,  56.985790253
  42.315116299,  56.915248871
  42.395469076,  56.890922546
  42.475821854,  56.944438934
  42.556174632,  56.959033966
  42.636527410,  56.905517578
  42.716880188,  56.978492737
  42.797232966,  56.993087769
  42.877585743,  56.912815094
  42.957938521,  56.976058960
  43.038291299,  56.924976349
  43.118644077,  56.997951508
  43.198996855,  56.961463928
  43.279349633,  56.915248871
  43.359702410,  56.942005157
  43.440055188,  56.873897552
  43.520407966,  56.997951508
  43.600760744,  56.915248871
  43.681113522,  56.859302521
  43.761466300,  56.946868896
  43.841819077,  56.932273865
  43.922171855,  56.934707642
  44.002524633,  56.869029999
  44.082877411,  56.944438934
  44.163230189,  56.932273865
  44.243582967,  56.942005157
  44.323918476,  56.856868744
  44.404253985,  56.864166260
  44.484589494,  56.910381317
  44.564925003,  56.903083801
  44.645260513,  56.985790253
  44.725596022,  56.939571381
  44.805931531,  56.839839935
  44.886267040,  56.903083801
  44.966602549,  56.944438934
  45.046938058,  56.917678833
  45.127273567,  56.995517731
  45.207609077,  56.912815094
  45.287944586,  56.920112610
  45.368280095,  56.961463928
  45.448615604,  56.912815094
  45.528951113,  56.946868896
  45.609286623,  56.927410126
  45.689622132,  56.871463776
  45.769957641,  56.876327515
  45.850293150,  56.944438934
  45.930628659,  56.954166412
  46.010964168,  56.937141418
  46.091299677,  56.978492737
  46.171635187,  56.883625031
  46.251970696,  56.924976349
  46.332306205,  56.890922546
  46.412641714,  56.905517578
  46.492977223,  56.871463776
  46.573312732,  56.871463776
  46.653648242,  56.903083801
  46.733983751,  56.929843903
  46.814319260,  56.946868896
  46.894654769,  56.937141418
  46.974990278,  56.895786285
  47.055325787,  56.920112610
  47.135661297,  56.959033966
  47.215996806,  56.815517426
  47.296332315,  56.898220062
  47.376667824,  56.878761292
  47.457003333,  56.978492737
  47.537338842,  56.937141418
  47.617674352,  56.839839935
  47.698009861,  56.903083801
  47.778345370,  56.924976349
  47.858680879,  56.927410126
  47.939016388,  56.980922699
  48.019351898,  56.959033966
  48.099687407,  56.881195068
  48.180022916,  56.893356323
  48.260358425,  57.002815247
  48.340702795,  56.859302521
  48.421047166,  56.861732483
  48.501391536,  56.924976349
  48.581735906,  56.937141418
  48.662080277,  56.817947388
  48.742424647,  56.907951355
  48.822769017,  56.922546387
  48.903113388,  56.927410126
  48.983457758,  56.844707489
  49.063802128,  56.881195068
  49.144146499,  56.949302673
  49.224490869,  56.934707642
  49.304835239,  56.966327667
  49.385179610,  56.939571381
  49.465523980,  56.927410126
  49.545868350,  56.852005005
  49.626212721,  56.976058960
  49.706557091,  57.017410278
  49.786901461,  56.966327667
  49.867245832,  57.014980316
  49.947590202,  56.912815094
  50.027934572,  56.951736450
  50.108278943,  56.830112457
  50.188623313,  56.993087769
  50.268967683,  56.990653992
  50.349312054,  57.019844055
  50.429656424,  56.937141418
  50.510000794,  56.956600189
  50.590345165,  56.946868896
  50.670689535,  57.007682800
  50.751033905,  57.024707794
  50.831378276,  56.942005157
  50.911722646,  56.927410126
  50.992067016,  57.041736603
  51.072411387,  56.995517731
  51.152755757,  57.019844055
  51.233100127,  57.083087921
  51.313444498,  56.890922546
  51.393788868,  56.995517731
  51.474133238,  56.993087769
  51.554477609,  57.032005310
  51.634821979,  57.019844055
  51.715166349,  56.954166412
  51.795510720,  57.049034119
  51.875855090,  57.104980469
  51.956199460,  56.995517731
  52.036543831,  57.012546539
  52.116888201,  56.988220215
  52.197232571,  56.990653992
  52.277576942,  57.034439087
  52.357904912,  56.961463928
  52.438232883,  57.005249023
  52.518560854,  57.010112762
  52.598888825,  57.012546539
  52.679216796,  56.963897705
  52.759544767,  57.058761597
  52.839872738,  56.888488770
  52.920200708,  57.010112762
  53.000528679,  57.032005310
  53.080856650,  57.012546539
  53.161184621,  56.971195221
  53.241512592,  56.934707642
  53.321840563,  56.978492737
  53.402168533,  56.997951508
  53.482496504,  56.873897552
  53.562824475,  57.000385284
  53.643152446,  56.903083801
  53.723480417,  56.944438934
  53.803808387,  57.131736755
  53.884136358,  57.073356628
  53.964464329,  57.024707794
  54.044792300,  57.041736603
  54.125120271,  57.049034119
  54.205448242,  56.939571381
  54.285776212,  56.932273865
  54.366104183,  56.990653992
  54.446432154,  57.102546692
  54.526760125,  56.983356476
  54.607088096,  57.053897858
  54.687416067,  57.034439087
  54.767744038,  57.092819214
  54.848072008,  57.053897858
  54.928399979,  56.988220215
  55.008727950,  57.053897858
  55.089055921,  57.100116730
  55.169383892,  56.973625183
  55.249711862,  56.934707642
  55.330039833,  57.019844055
  55.410367804,  57.056331635
  55.490695775,  57.014980316
  55.571023746,  57.041736603
  55.651351717,  56.966327667
  55.731679687,  56.937141418
  55.812007658,  56.956600189
  55.892335629,  57.061195374
  55.972663600,  57.000385284
  56.052991571,  57.134170532
  56.133319542,  57.010112762
  56.213647513,  56.978492737
  56.293975483,  57.029575348
  56.374292763,  57.005249023
  56.454610042,  56.895786285
  56.534927321,  56.951736450
  56.615244601,  56.980922699
  56.695561880,  57.027141571
  56.775879159,  57.056331635
  56.856196439,  57.097682953
  56.936513718,  57.066059113
  57.016830997,  57.063629150
  57.097148277,  57.024707794
  57.177465556,  57.044170380
  57.257782835,  57.122009277
  57.338100115,  56.929843903
  57.418417394,  57.022277832
  57.498734673,  56.971195221
  57.579051953,  56.990653992
  57.659369232,  56.956600189
  57.739686511,  57.014980316
  57.820003791,  57.029575348
  57.900321070,  57.041736603
  57.980638349,  57.063629150
  58.060955629,  57.002815247
  58.141272908,  56.959033966
  58.221590187,  57.005249023
  58.301907467,  56.934707642
  58.382224746,  56.895786285
  58.462542025,  57.017410278
  58.542859305,  56.871463776
  58.623176584,  57.046600342
  58.703493863,  56.976058960
  58.783811143,  56.988220215
  58.864128422,  56.968761444
  58.944445701,  56.910381317
  59.024762981,  56.983356476
  59.105080260,  56.946868896
  59.185397539,  56.927410126
  59.265714819,  57.058761597
  59.346032098,  56.976058960
  59.426349377,  56.949302673
  59.506666657,  56.876327515
  59.586983936,  56.956600189
  59.667301215,  56.917678833
  59.747618495,  56.995517731
  59.827935774,  57.036872864
  59.908253053,  56.980922699
  59.988570333,  56.985790253
  60.068887612,  56.956600189
  60.149204891,  57.012546539
  60.229522171,  56.915248871
  60.309839450,  57.027141571
  60.390174603,  57.007682800
  60.470509756,  57.073356628
  60.550844908,  57.012546539
  60.631180061,  56.980922699
  60.711515214,  57.005249023
  60.791850367,  56.937141418
  60.872185520,  56.932273865
  60.952520673,  56.995517731
  61.032855826,  57.007682800
  61.113190978,  56.944438934
  61.193526131,  57.078224182
  61.273861284,  56.985790253
  61.354196437,  56.920112610
  61.434531590,  56.990653992
  61.514866742,  56.944438934
  61.595201895,  56.993087769
  61.675537048,  57.007682800
  61.755872201,  56.961463928
  61.836207354,  56.852005005
  61.916542507,  56.890922546
  61.996877660,  57.012546539
  62.077212812,  56.886058807
  62.157547965,  56.934707642
  62.237883118,  56.985790253
  62.318218271,  56.954166412
  62.398553424,  56.888488770
  62.478888576,  57.007682800
  62.559223729,  56.856868744
  62.639558882,  56.942005157
  62.719894035,  56.878761292
  62.800229188,  56.988220215
  62.880564341,  56.951736450
  62.960899494,  56.873897552
  63.041234646,  56.983356476
  63.121569799,  56.922546387
  63.201904952,  57.046600342
  63.282240105,  56.903083801
  63.362575258,  57.012546539
  63.442910411,  57.017410278
  63.523245563,  56.881195068
  63.603580716,  56.944438934
  63.683915869,  56.929843903
  63.764251022,  57.000385284
  63.844586175,  56.956600189
  63.924921328,  56.905517578
  64.005256480,  56.968761444
  64.085591633,  56.920112610
  64.165926786,  57.002815247
  64.246261939,  57.000385284
  64.326597092,  56.951736450
  64.406963356,  56.954166412
  64.487329620,  56.993087769
  64.567695885,  57.019844055
  64.648062149,  56.942005157
  64.728428413,  56.956600189
  64.808794678,  56.932273865
  64.889160942,  56.978492737
  64.969527206,  57.014980316
  65.049893471,  56.954166412
  65.130259735,  56.924976349
  65.210625999,  57.014980316
  65.290992264,  56.983356476
  65.371358528,  57.012546539
  65.451724792,  56.883625031
  65.532091057,  56.871463776
  65.612457321,  56.985790253
  65.692823585,  56.944438934
  65.773189850,  57.000385284
  65.853556114,  56.978492737
  65.933922378,  56.890922546
  66.014288643,  57.002815247
  66.094654907,  57.007682800
  66.175021171,  56.983356476
  66.255387436,  56.942005157
  66.335753700,  57.027141571
  66.416119964,  56.973625183
  66.496486229,  56.954166412
  66.576852493,  56.968761444
  66.657218757,  57.058761597
  66.737585022,  56.985790253
  66.817951286,  56.988220215
  66.898317550,  56.946868896
  66.978683815,  57.029575348
  67.059050079,  56.961463928
  67.139416343,  56.954166412
  67.219782608,  56.956600189
  67.300148872,  56.963897705
  67.380515136,  56.900653839
  67.460881401,  56.973625183
  67.541247665,  56.946868896
  67.621613929,  56.934707642
  67.701980194,  56.910381317
  67.782346458,  56.959033966
  67.862712722,  56.924976349
  67.943078987,  56.946868896
  68.023445251,  56.954166412
  68.103811515,  56.878761292
  68.184177780,  57.029575348
  68.264544044,  56.980922699
